Corner,cap_scs,mos_scs,res_scs,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
Process_0,tm,tm,tm,30.8,6199000,76.79,9029000,4.167,2.089,-2.19,2.323,-2.19,3.096e-05,0.0001388,1.48,-1.514,0.03028,-0.0296
Process_1,wp,tm,tm,30.8,6206000,76.77,9021000,4.168,2.089,-2.19,2.323,-2.19,3.101e-05,0.0001387,1.48,-1.514,0.03028,-0.0296
Process_2,ws,tm,tm,30.8,6192000,76.8,9037000,4.167,2.089,-2.19,2.323,-2.19,3.091e-05,0.0001389,1.48,-1.514,0.03028,-0.0296
Process_3,tm,wp,tm,26,4571000,83.54,8056000,3.698,2.086,-2.256,2.326,-2.256,2.147e-05,0.0001995,pending,pending,pending,pending
Process_4,wp,wp,tm,26,4576000,83.54,8049000,3.699,2.086,-2.256,2.326,-2.256,2.151e-05,0.0001994,pending,pending,pending,pending
Process_5,ws,wp,tm,26,4566000,83.55,8062000,3.698,2.086,-2.256,2.326,-2.256,2.142e-05,0.0001997,pending,pending,pending,pending
Process_6,tm,ws,tm,34,7076000,70.57,10200000,4.745,2.088,-2.053,2.318,-2.053,4.429e-05,0.0001127,1.479,-1.514,0.03028,-0.02959
Process_7,wp,ws,tm,34,7086000,70.55,10190000,4.745,2.088,-2.053,2.318,-2.053,4.434e-05,0.0001126,1.479,-1.514,0.03028,-0.02959
Process_8,ws,ws,tm,34,7066000,70.59,10210000,4.744,2.088,-2.053,2.318,-2.053,4.424e-05,0.0001128,1.479,-1.514,0.03027,-0.02959
Process_9,tm,wo,tm,33.34,7201000,71.89,10180000,4.462,2.036,-2.112,2.311,-2.112,4.258e-05,0.0001155,1.478,-1.514,0.03028,-0.02957
Process_10,wp,wo,tm,33.34,7211000,71.89,10170000,4.463,2.036,-2.112,2.311,-2.112,4.263e-05,0.0001154,1.478,-1.514,0.03028,-0.02957
Process_11,ws,wo,tm,33.34,7191000,71.9,10190000,4.461,2.036,-2.112,2.311,-2.112,4.253e-05,0.0001156,1.478,-1.514,0.03028,-0.02957
Process_12,tm,wz,tm,27.09,4809000,81.88,8066000,3.928,2.131,-2.233,2.333,-2.233,2.379e-05,0.0001857,1.48,-1.514,0.03029,-0.02961
Process_13,wp,wz,tm,27.09,4815000,81.87,8059000,3.929,2.131,-2.233,2.333,-2.233,2.383e-05,0.0001856,1.48,-1.514,0.03029,-0.02961
Process_14,ws,wz,tm,27.09,4804000,81.89,8073000,3.928,2.131,-2.233,2.333,-2.233,2.375e-05,0.0001858,1.48,-1.514,0.03029,-0.02961
Process_15,tm,tm,wp,30.8,6199000,76.79,9029000,4.167,2.089,-2.19,2.323,-2.19,3.096e-05,0.0001388,1.48,-1.514,0.03028,-0.0296
Process_16,wp,tm,wp,30.8,6206000,76.77,9021000,4.168,2.089,-2.19,2.323,-2.19,3.101e-05,0.0001387,1.48,-1.514,0.03028,-0.0296
Process_17,ws,tm,wp,30.8,6192000,76.8,9037000,4.167,2.089,-2.19,2.323,-2.19,3.091e-05,0.0001389,1.48,-1.514,0.03028,-0.0296
Process_18,tm,wp,wp,26,4571000,83.54,8056000,3.698,2.086,-2.256,2.326,-2.256,2.147e-05,0.0001995,pending,pending,pending,pending
Process_19,wp,wp,wp,26,4576000,83.54,8049000,3.699,2.086,-2.256,2.326,-2.256,2.151e-05,0.0001994,pending,pending,pending,pending
Process_20,ws,wp,wp,26,4566000,83.55,8062000,3.698,2.086,-2.256,2.326,-2.256,2.142e-05,0.0001997,pending,pending,pending,pending
Process_21,tm,ws,wp,34,7076000,70.57,10200000,4.745,2.088,-2.053,2.318,-2.053,4.429e-05,0.0001127,1.479,-1.514,0.03028,-0.02959
Process_22,wp,ws,wp,34,7086000,70.55,10190000,4.745,2.088,-2.053,2.318,-2.053,4.434e-05,0.0001126,1.479,-1.514,0.03028,-0.02959
Process_23,ws,ws,wp,34,7066000,70.59,10210000,4.744,2.088,-2.053,2.318,-2.053,4.424e-05,0.0001128,1.479,-1.514,0.03027,-0.02959
Process_24,tm,wo,wp,33.34,7201000,71.89,10180000,4.462,2.036,-2.112,2.311,-2.112,4.258e-05,0.0001155,1.478,-1.514,0.03028,-0.02957
Process_25,wp,wo,wp,33.34,7211000,71.89,10170000,4.463,2.036,-2.112,2.311,-2.112,4.263e-05,0.0001154,1.478,-1.514,0.03028,-0.02957
Process_26,ws,wo,wp,33.34,7191000,71.9,10190000,4.461,2.036,-2.112,2.311,-2.112,4.253e-05,0.0001156,1.478,-1.514,0.03028,-0.02957
Process_27,tm,wz,wp,27.09,4809000,81.88,8066000,3.928,2.131,-2.233,2.333,-2.233,2.379e-05,0.0001857,1.48,-1.514,0.03029,-0.02961
Process_28,wp,wz,wp,27.09,4815000,81.87,8059000,3.929,2.131,-2.233,2.333,-2.233,2.383e-05,0.0001856,1.48,-1.514,0.03029,-0.02961
Process_29,ws,wz,wp,27.09,4804000,81.89,8073000,3.928,2.131,-2.233,2.333,-2.233,2.375e-05,0.0001858,1.48,-1.514,0.03029,-0.02961
Process_30,tm,tm,ws,30.8,6199000,76.79,9029000,4.167,2.089,-2.19,2.323,-2.19,3.096e-05,0.0001388,1.48,-1.514,0.03028,-0.0296
Process_31,wp,tm,ws,30.8,6206000,76.77,9021000,4.168,2.089,-2.19,2.323,-2.19,3.101e-05,0.0001387,1.48,-1.514,0.03028,-0.0296
Process_32,ws,tm,ws,30.8,6192000,76.8,9037000,4.167,2.089,-2.19,2.323,-2.19,3.091e-05,0.0001389,1.48,-1.514,0.03028,-0.0296
Process_33,tm,wp,ws,26,4571000,83.54,8056000,3.698,2.086,-2.256,2.326,-2.256,2.147e-05,0.0001995,pending,pending,pending,pending
Process_34,wp,wp,ws,26,4576000,83.54,8049000,3.699,2.086,-2.256,2.326,-2.256,2.151e-05,0.0001994,pending,pending,pending,pending
Process_35,ws,wp,ws,26,4566000,83.55,8062000,3.698,2.086,-2.256,2.326,-2.256,2.142e-05,0.0001997,pending,pending,pending,pending
Process_36,tm,ws,ws,34,7076000,70.57,10200000,4.745,2.088,-2.053,2.318,-2.053,4.429e-05,0.0001127,1.479,-1.514,0.03028,-0.02959
Process_37,wp,ws,ws,34,7086000,70.55,10190000,4.745,2.088,-2.053,2.318,-2.053,4.434e-05,0.0001126,1.479,-1.514,0.03028,-0.02959
