Corner,VDD,VSS,cap_scs,mos_scs,res_scs,temperature,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PVT_0,2.25,-2.25,tm,tm,tm,25,33.58,6814000,71.52,10490000,4.912,1.89,-1.844,2.097,-1.844,3.177e-05,0.000125,1.479,-1.495,0.0299,-0.02959
PVT_1,2.25,-2.25,tm,tm,tm,-25,34.66,8477000,71.08,9358000,4.128,1.911,-1.914,2.111,-1.914,2.026e-05,0.0001032,1.482,-1.491,0.02981,-0.02964
PVT_2,2.25,-2.25,tm,tm,tm,85,32.4,5441000,72.65,11570000,5.805,1.871,-1.761,2.081,-1.761,4.793e-05,0.0001492,1.476,-1.494,0.02987,-0.02952
PVT_3,2.5,-2.25,tm,tm,tm,25,30.89,5738000,76.58,9642000,4.488,2.106,-1.945,2.335,-1.945,3.765e-05,0.0001505,1.481,-1.5,0.03,-0.02962
PVT_4,2.5,-2.25,tm,tm,tm,-25,30.99,6453000,76.44,8411000,3.759,2.128,-1.998,2.351,-1.998,2.645e-05,0.0001363,1.483,-1.495,0.02989,-0.02966
PVT_5,2.5,-2.25,tm,tm,tm,85,30.8,5107000,76.16,10860000,5.326,2.084,-1.88,2.319,-1.88,5.124e-05,0.000163,1.478,-1.501,0.03003,-0.02957
PVT_6,2.75,-2.25,tm,tm,tm,25,27.49,4382000,81.79,8839000,4.137,2.314,-1.998,2.574,-1.998,4.903e-05,0.0001986,1.482,-1.503,0.03006,-0.02963
PVT_7,2.75,-2.25,tm,tm,tm,-25,27.58,4939000,82.11,7680000,3.455,2.338,-2.041,2.59,-2.041,3.477e-05,0.0001809,1.483,-1.497,0.02995,-0.02967
PVT_8,2.75,-2.25,tm,tm,tm,85,27.65,4046000,81.13,10050000,4.924,2.291,-1.946,2.557,-1.946,6.448e-05,0.0002098,1.479,-1.505,0.0301,-0.02959
PVT_9,2.25,-2.5,tm,tm,tm,25,33.92,7800000,71.77,9813000,4.493,1.875,-2.104,2.085,-2.104,2.452e-05,0.0001094,1.478,-1.513,0.03027,-0.02956
PVT_10,2.25,-2.5,tm,tm,tm,-25,34.62,9342000,71.78,8644000,3.763,1.896,-2.177,2.101,-2.177,1.542e-05,9.34e-05,1.481,-1.513,0.03025,-0.02962
PVT_11,2.25,-2.5,tm,tm,tm,85,33,6388000,72.26,10940000,5.331,1.856,-2.013,2.07,-2.013,3.848e-05,0.0001279,1.475,-1.513,0.03027,-0.0295
PVT_12,2.5,-2.5,tm,tm,tm,25,30.79,6217000,76.8,8982000,4.141,2.09,-2.192,2.324,-2.192,3.055e-05,0.0001385,1.48,-1.514,0.03028,-0.0296
PVT_13,2.5,-2.5,tm,tm,tm,-25,30.65,6879000,77.32,7769000,3.459,2.112,-2.247,2.34,-2.247,2.098e-05,0.0001286,1.482,-1.513,0.03026,-0.02964
PVT_14,2.5,-2.5,tm,tm,tm,85,31.03,5727000,76.2,10240000,4.928,2.069,-2.123,2.308,-2.123,4.282e-05,0.0001455,1.477,-1.515,0.03029,-0.02955
PVT_15,2.75,-2.5,tm,tm,tm,25,27.62,4868000,81.83,8282000,3.844,2.297,-2.24,2.562,-2.24,3.917e-05,0.00018,pending,pending,pending,pending
