Corner,cap_scs,mos_scs,res_scs,temperature,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
PVT_max_0,tm,tm,tm,-25,2.5,-2.5,17.2,24.71,100600000,44.59,3434000,1614,-0.4072,3.119e-08,2.642e-07,2.772e-07,1.21,-1.924,713500000,-720100000,-42.54,-38.64,3.135
PVT_max_1,tm,tm,tm,25,2.5,-2.5,16.52,24.36,89550000,46.68,3466000,1829,-0.3618,3.321e-08,2.643e-07,2.75e-07,1.173,-1.845,613000000,-629900000,-48.45,-39.29,3.018
PVT_max_2,tm,tm,tm,85,2.5,-2.5,15.71,23.92,80730000,47.17,3497000,2044,-0.3213,3.539e-08,2.618e-07,2.725e-07,1.124,-1.757,513400000,-530700000,-63.9,-40.19,2.881
PVT_max_3,tm,tm,tm,-25,2.25,-2.5,19.1,25.62,78690000,44.63,3463000,2056,-0.6225,2.843e-08,2.778e-07,2.815e-07,1.226,-2.168,498900000,-562800000,-32.9,-35.49,3.394
PVT_max_4,tm,tm,tm,25,2.25,-2.5,18.16,25.18,69830000,45.03,3503000,2318,-0.5778,3.043e-08,2.792e-07,2.794e-07,1.152,-2.092,413500000,-446100000,-35.87,-36.45,3.244
PVT_max_5,tm,tm,tm,85,2.25,-2.5,17.1,24.66,62910000,47.2,3539000,2567,-0.5352,3.255e-08,2.767e-07,2.77e-07,1.072,-2.003,336000000,-347400000,-39.61,-37.6,3.075
PVT_max_6,tm,tm,tm,-25,2.75,-2.5,15.77,23.95,122300000,44.82,3431000,1357,-0.2012,3.362e-08,2.535e-07,2.748e-07,1.25,-1.667,818800000,-766900000,-58.57,-41.08,2.917
PVT_max_7,tm,tm,tm,25,2.75,-2.5,15.24,23.66,108200000,46.83,3455000,1534,-0.1562,3.565e-08,2.526e-07,2.722e-07,1.232,-1.591,736500000,-708900000,-48.95,-41.59,2.823
PVT_max_8,tm,tm,tm,85,2.75,-2.5,14.56,23.26,96240000,48.47,3479000,1717,-0.1178,3.789e-08,2.499e-07,2.694e-07,1.199,-1.507,638100000,-631200000,-45.13,-42.37,2.706
PVT_max_9,tm,tm,tm,-25,2.5,-2.25,16.96,24.59,99460000,45.08,3412000,1627,-0.1879,3.105e-08,2.599e-07,2.74e-07,1.38,-1.693,706400000,-714200000,-46.7,-38.25,3.073
PVT_max_10,tm,tm,tm,25,2.5,-2.25,16.26,24.22,88850000,46.95,3443000,1840,-0.1445,3.306e-08,2.598e-07,2.714e-07,1.339,-1.613,605500000,-623200000,-59.49,-38.92,2.953
PVT_max_11,tm,tm,tm,85,2.5,-2.25,15.41,23.75,80280000,47.27,3472000,2051,-0.1061,3.523e-08,2.57e-07,2.685e-07,1.286,-1.524,505400000,-521900000,-54.13,-39.85,2.81
PVT_max_12,tm,tm,tm,-25,2.25,-2.25,18.86,25.51,77270000,44.88,3446000,2090,-0.3993,2.826e-08,2.723e-07,2.795e-07,1.385,-1.931,489500000,-549100000,-34.48,-34.88,3.316
PVT_max_13,tm,tm,tm,25,2.25,-2.25,17.87,25.04,68670000,45.05,3485000,2348,-0.3564,3.025e-08,2.736e-07,2.771e-07,1.309,-1.853,404000000,-432900000,-38.02,-35.93,3.163
PVT_max_14,tm,tm,tm,85,2.25,-2.25,16.76,24.49,62200000,47.9,3520000,2593,-0.3159,3.237e-08,2.71e-07,2.743e-07,1.228,-1.762,327100000,-335500000,-42.79,-37.18,2.99
PVT_max_15,tm,tm,tm,-25,2.75,-2.25,15.53,23.82,121700000,44.8,3404000,1360,0.01521,3.351e-08,2.508e-07,2.695e-07,1.425,-1.44,816500000,-765500000,-49.19,-40.9,2.865
PVT_max_16,tm,tm,tm,25,2.75,-2.25,14.98,23.51,107800000,47.24,3426000,1535,0.05804,3.553e-08,2.495e-07,2.667e-07,1.403,-1.362,731800000,-705400000,-44.77,-41.39,2.765
PVT_max_17,tm,tm,tm,85,2.75,-2.25,14.28,23.09,96130000,48.71,3449000,1715,0.09404,3.776e-08,2.465e-07,2.635e-07,1.365,-1.278,632200000,-626400000,-42.4,-42.17,2.643
PVT_max_18,tm,tm,tm,-25,2.5,-2.75,17.39,24.8,101900000,44.12,3454000,1600,-0.6297,3.132e-08,2.664e-07,2.824e-07,1.027,-2.15,718900000,-724300000,-39.83,-38.77,3.177
PVT_max_19,tm,tm,tm,25,2.5,-2.75,16.74,24.48,90340000,46.42,3487000,1816,-0.5827,3.335e-08,2.668e-07,2.807e-07,0.9939,-2.074,619800000,-636900000,-43.91,-39.41,3.067
PVT_max_20,tm,tm,tm,85,2.5,-2.75,15.96,24.06,81290000,47.08,3519000,2034,-0.5404,3.553e-08,2.644e-07,2.786e-07,0.9479,-1.988,520300000,-538300000,-50.52,-40.31,2.936
PVT_max_21,tm,tm,tm,-25,2.25,-2.75,19.29,25.71,80160000,44.37,3478000,2023,-0.8476,2.86e-08,2.82e-07,2.845e-07,1.051,-2.401,506700000,-576000000,-31.74,-35.92,3.451
PVT_max_22,tm,tm,tm,25,2.25,-2.75,18.39,25.29,71030000,45,3520000,2286,-0.8014,3.06e-08,2.834e-07,2.829e-07,0.9797,-2.326,421600000,-458500000,-34.32,-36.79,3.305
PVT_max_23,tm,tm,tm,85,2.25,-2.75,17.38,24.8,63680000,46.56,3556000,2539,-0.7571,3.273e-08,2.81e-07,2.809e-07,0.9034,-2.239,344000000,-358700000,-37.48,-37.86,3.142
PVT_max_24,tm,tm,tm,-25,2.75,-2.75,15.96,24.06,123100000,44.85,3454000,1351,-0.423,3.374e-08,2.528e-07,2.835e-07,1.062,-1.891,818000000,-769500000,-58.18,-40.94,2.953
PVT_max_25,tm,tm,tm,25,2.75,-2.75,15.45,23.78,108700000,46.46,3479000,1530,-0.3762,3.576e-08,2.524e-07,2.814e-07,1.048,-1.817,739000000,-710500000,-57.31,-41.51,2.865
PVT_max_26,tm,tm,tm,85,2.75,-2.75,14.8,23.41,96500000,48.26,3505000,1716,-0.3356,3.801e-08,2.502e-07,2.789e-07,1.018,-1.736,642300000,-634900000,-49,-42.35,2.754
PVT_max_27,wp,tm,tm,-25,2.5,-2.5,17.2,24.71,100600000,44.59,3434000,1614,-0.4072,3.119e-08,2.642e-07,2.772e-07,1.21,-1.924,713500000,-720100000,-42.54,-38.64,3.135
PVT_max_28,wp,tm,tm,25,2.5,-2.5,16.52,24.36,89550000,46.68,3466000,1829,-0.3618,3.321e-08,2.643e-07,2.75e-07,1.173,-1.845,613000000,-629900000,-48.45,-39.29,3.018
PVT_max_29,wp,tm,tm,85,2.5,-2.5,15.71,23.92,80730000,47.17,3497000,2044,-0.3213,3.539e-08,2.618e-07,2.725e-07,1.124,-1.757,513400000,-530700000,-63.9,-40.19,2.881
PVT_max_30,wp,tm,tm,-25,2.25,-2.5,19.1,25.62,78690000,44.63,3463000,2056,-0.6225,2.843e-08,2.778e-07,2.815e-07,1.226,-2.168,498900000,-562800000,-32.9,-35.49,3.394
PVT_max_31,wp,tm,tm,25,2.25,-2.5,18.16,25.18,69830000,45.03,3503000,2318,-0.5778,3.043e-08,2.792e-07,2.794e-07,1.152,-2.092,413500000,-446100000,-35.87,-36.45,3.244
PVT_max_32,wp,tm,tm,85,2.25,-2.5,17.1,24.66,62910000,47.2,3539000,2567,-0.5352,3.255e-08,2.767e-07,2.77e-07,1.072,-2.003,336000000,-347400000,-39.61,-37.6,3.075
PVT_max_33,wp,tm,tm,-25,2.75,-2.5,15.77,23.95,122300000,44.82,3431000,1357,-0.2012,3.362e-08,2.535e-07,2.748e-07,1.25,-1.667,818800000,-766900000,-58.57,-41.08,2.917
PVT_max_34,wp,tm,tm,25,2.75,-2.5,15.24,23.66,108200000,46.83,3455000,1534,-0.1562,3.565e-08,2.526e-07,2.722e-07,1.232,-1.591,736500000,-708900000,-48.95,-41.59,2.823
PVT_max_35,wp,tm,tm,85,2.75,-2.5,14.56,23.26,96240000,48.47,3479000,1717,-0.1178,3.789e-08,2.499e-07,2.694e-07,1.199,-1.507,638100000,-631200000,-45.13,-42.37,2.706
PVT_max_36,wp,tm,tm,-25,2.5,-2.25,16.96,24.59,99460000,45.08,3412000,1627,-0.1879,3.105e-08,2.599e-07,2.74e-07,1.38,-1.693,706400000,-714200000,-46.7,-38.25,3.073
PVT_max_37,wp,tm,tm,25,2.5,-2.25,16.26,24.22,88850000,46.95,3443000,1840,-0.1445,3.306e-08,2.598e-07,2.714e-07,1.339,-1.613,605500000,-623200000,-59.49,-38.92,2.953
