Corner,cap_scs,mos_scs,res_scs,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_Vol_max_0,tm,tm,tm,2.5,-2.5,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
Proc_Vol_max_1,tm,tm,tm,2.25,-2.5,18.12,25.16,69530000,45.01,3505000,2327,-0.5762,3.051e-08,2.791e-07,2.793e-07,-0.4699,1.149,-2.089,410500000,-442100000,-35.99,-36.49,3.238
Proc_Vol_max_2,tm,tm,tm,2.75,-2.5,15.21,23.64,107700000,46.92,3456000,1541,-0.1547,3.573e-08,2.526e-07,2.721e-07,-0.1785,1.231,-1.588,732800000,-706700000,-48.76,-41.62,2.819
Proc_Vol_max_3,tm,tm,tm,2.5,-2.25,16.23,24.21,88510000,46.99,3444000,1848,-0.143,3.314e-08,2.597e-07,2.713e-07,-0.1363,1.338,-1.61,601600000,-619600000,-60.5,-38.95,2.948
Proc_Vol_max_4,tm,tm,tm,2.25,-2.25,17.83,25.02,68380000,45.03,3487000,2358,-0.3548,3.032e-08,2.736e-07,2.77e-07,-0.2719,1.306,-1.85,401000000,-429100000,-38.16,-35.98,3.157
Proc_Vol_max_5,tm,tm,tm,2.75,-2.25,14.95,23.49,107300000,47.32,3427000,1542,0.05948,3.561e-08,2.494e-07,2.666e-07,0.02099,1.402,-1.36,728400000,-702300000,-44.66,-41.41,2.761
Proc_Vol_max_6,tm,tm,tm,2.5,-2.75,16.72,24.46,89980000,46.47,3488000,1824,-0.5811,3.342e-08,2.668e-07,2.806e-07,-0.5391,0.9924,-2.071,616200000,-633100000,-44.09,-39.44,3.063
Proc_Vol_max_7,tm,tm,tm,2.25,-2.75,18.35,25.27,70730000,44.99,3521000,2295,-0.7997,3.068e-08,2.834e-07,2.828e-07,-0.6728,0.977,-2.323,418600000,-454500000,-34.43,-36.82,3.3
Proc_Vol_max_8,tm,tm,tm,2.75,-2.75,15.43,23.77,108200000,46.55,3480000,1537,-0.3746,3.584e-08,2.524e-07,2.813e-07,-0.3837,1.047,-1.815,736000000,-708000000,-56.77,-41.54,2.862
Proc_Vol_max_9,wp,tm,tm,2.5,-2.5,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
