Corner,cap_scs,mos_scs,res_scs,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_Vol_min_0,tm,tm,tm,2.5,-2.5,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_Vol_min_1,tm,tm,tm,2.25,-2.5,6.722,16.55,118000000,72.98,3372000,1453,-0.1762,5.245e-08,2.427e-07,2.595e-07,-0.1916,0.4687,-0.852,253800000,-252800000,-52.7,-62.29,1.321
Proc_Vol_min_2,tm,tm,tm,2.75,-2.5,9.714,19.75,150800000,57.04,3385000,1122,0.1975,4.42e-08,2.274e-07,2.506e-07,0.1328,1.054,-0.7885,526600000,-525400000,-40.25,-49.06,1.842
Proc_Vol_min_3,tm,tm,tm,2.5,-2.25,7.962,18.02,136100000,65,3348000,1249,0.2143,4.741e-08,2.295e-07,2.497e-07,0.1732,0.9383,-0.5918,379100000,-381900000,-44.21,-53.27,1.53
Proc_Vol_min_4,tm,tm,tm,2.25,-2.25,6.139,15.76,118500000,75.6,3346000,1444,0.02886,5.464e-08,2.368e-07,2.557e-07,0.01138,0.616,-0.5932,245300000,-243900000,-51.65,-64.53,1.209
Proc_Vol_min_5,tm,tm,tm,2.75,-2.25,9.234,19.31,152300000,58.41,3344000,1107,0.3944,4.46e-08,2.235e-07,2.446e-07,0.3257,1.201,-0.5493,522900000,-523500000,-39.73,-49.36,1.75
Proc_Vol_min_6,tm,tm,tm,2.5,-2.75,9.087,19.17,134300000,61.75,3405000,1272,-0.1909,4.551e-08,2.383e-07,2.6e-07,-0.2265,0.6426,-1.096,392300000,-393300000,-45.45,-51.19,1.738
Proc_Vol_min_7,tm,tm,tm,2.25,-2.75,7.286,17.25,117700000,70.44,3393000,1459,-0.3843,5.062e-08,2.477e-07,2.636e-07,-0.3977,0.3161,-1.111,261500000,-260900000,-53.94,-60.18,1.428
Proc_Vol_min_8,tm,tm,tm,2.75,-2.75,10.14,20.12,149700000,55.83,3414000,1133,-0.004889,4.389e-08,2.291e-07,2.586e-07,-0.06611,0.8961,-1.028,527600000,-525900000,-40.74,-48.8,1.924
Proc_Vol_min_9,wp,tm,tm,2.5,-2.5,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
