Corner,V_bias,cap_scs,mos_scs,res_scs,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_max_0,0.7,tm,tm,tm,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
Proc_max_1,0.7,wp,tm,tm,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
Proc_max_2,0.7,ws,tm,tm,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
Proc_max_3,0.7,tm,wp,tm,16.22,24.2,104800000,46.15,3560000,1704,-0.3458,3.269e-08,2.786e-07,2.744e-07,-0.3324,1.146,-1.811,658300000,-669400000,-54.23,-39.29,2.957
Proc_max_4,0.7,wp,wp,tm,16.22,24.2,104800000,46.15,3560000,1704,-0.3458,3.269e-08,2.786e-07,2.744e-07,-0.3324,1.146,-1.811,658300000,-669400000,-54.23,-39.29,2.957
Proc_max_5,0.7,ws,wp,tm,16.22,24.2,104800000,46.15,3560000,1704,-0.3458,3.269e-08,2.786e-07,2.744e-07,-0.3324,1.146,-1.811,658300000,-669400000,-54.23,-39.29,2.957
Proc_max_6,0.7,tm,ws,tm,16.75,24.48,76120000,45.45,3379000,1995,-0.38,3.391e-08,2.513e-07,2.76e-07,-0.3407,1.193,-1.874,537900000,-559000000,-44.68,-39.35,3.067
Proc_max_7,0.7,wp,ws,tm,16.75,24.48,76120000,45.45,3379000,1995,-0.38,3.391e-08,2.513e-07,2.76e-07,-0.3407,1.193,-1.874,537900000,-559000000,-44.68,-39.35,3.067
Proc_max_8,0.7,ws,ws,tm,16.75,24.48,76120000,45.45,3379000,1995,-0.38,3.391e-08,2.513e-07,2.76e-07,-0.3407,1.193,-1.874,537900000,-559000000,-44.68,-39.35,3.067
Proc_max_9,0.7,tm,wo,tm,16.1,24.13,89150000,45.86,3458000,1906,-0.5216,3.27e-08,2.533e-07,2.791e-07,-0.4516,1.02,-1.923,549900000,-590800000,-39.6,-39.56,2.943
Proc_max_10,0.7,wp,wo,tm,16.1,24.13,89150000,45.86,3458000,1906,-0.5216,3.27e-08,2.533e-07,2.791e-07,-0.4516,1.02,-1.923,549900000,-590800000,-39.6,-39.56,2.943
Proc_max_11,0.7,ws,wo,tm,16.1,24.13,89150000,45.86,3458000,1906,-0.5216,3.27e-08,2.533e-07,2.791e-07,-0.4516,1.02,-1.923,549900000,-590800000,-39.6,-39.56,2.943
Proc_max_12,0.7,tm,wz,tm,16.5,24.35,89600000,48.07,3486000,1766,-0.2081,3.4e-08,2.76e-07,2.703e-07,-0.2301,1.276,-1.736,640600000,-639900000,-49.31,-39.32,3.012
Proc_max_13,0.7,wp,wz,tm,16.5,24.35,89600000,48.07,3486000,1766,-0.2081,3.4e-08,2.76e-07,2.703e-07,-0.2301,1.276,-1.736,640600000,-639900000,-49.31,-39.32,3.012
Proc_max_14,0.7,ws,wz,tm,16.5,24.35,89600000,48.07,3486000,1766,-0.2081,3.4e-08,2.76e-07,2.703e-07,-0.2301,1.276,-1.736,640600000,-639900000,-49.31,-39.32,3.012
Proc_max_15,0.7,tm,tm,wp,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
Proc_max_16,0.7,wp,tm,wp,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
Proc_max_17,0.7,ws,tm,wp,16.49,24.35,89190000,46.72,3467000,1837,-0.3603,3.328e-08,2.643e-07,2.749e-07,-0.3354,1.172,-1.842,609300000,-626400000,-48.75,-39.32,3.014
Proc_max_18,0.7,tm,wp,wp,16.22,24.2,104800000,46.15,3560000,1704,-0.3458,3.269e-08,2.786e-07,2.744e-07,-0.3324,1.146,-1.811,658300000,-669400000,-54.23,-39.29,2.957
Proc_max_19,0.7,wp,wp,wp,16.22,24.2,104800000,46.15,3560000,1704,-0.3458,3.269e-08,2.786e-07,2.744e-07,-0.3324,1.146,-1.811,658300000,-669400000,-54.23,-39.29,2.957
Proc_max_20,0.7,ws,wp,wp,16.22,24.2,104800000,46.15,3560000,1704,-0.3458,3.269e-08,2.786e-07,2.744e-07,-0.3324,1.146,-1.811,658300000,-669400000,-54.23,-39.29,2.957
Proc_max_21,0.7,tm,ws,wp,16.75,24.48,76120000,45.45,3379000,1995,-0.38,3.391e-08,2.513e-07,2.76e-07,-0.3407,1.193,-1.874,537900000,-559000000,-44.68,-39.35,3.067
Proc_max_22,0.7,wp,ws,wp,16.75,24.48,76120000,45.45,3379000,1995,-0.38,3.391e-08,2.513e-07,2.76e-07,-0.3407,1.193,-1.874,537900000,-559000000,-44.68,-39.35,3.067
Proc_max_23,0.7,ws,ws,wp,16.75,24.48,76120000,45.45,3379000,1995,-0.38,3.391e-08,2.513e-07,2.76e-07,-0.3407,1.193,-1.874,537900000,-559000000,-44.68,-39.35,3.067
Proc_max_24,0.7,tm,wo,wp,16.1,24.13,89150000,45.86,3458000,1906,-0.5216,3.27e-08,2.533e-07,2.791e-07,-0.4516,1.02,-1.923,549900000,-590800000,-39.6,-39.56,2.943
Proc_max_25,0.7,wp,wo,wp,16.1,24.13,89150000,45.86,3458000,1906,-0.5216,3.27e-08,2.533e-07,2.791e-07,-0.4516,1.02,-1.923,549900000,-590800000,-39.6,-39.56,2.943
