Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS,V_bias,temperature
PVT_max_0,tm,tm,tm,25,19110000,21.86,3449000,0.6766,17.79,-0.4173,3.097e-08,4.923e-05,5.119e-05,-30.38,-28.47,0.06067,0.3033,0.0239,-0.03677,14150000,-14640000,2.5,-2.5,0.7,-25
PVT_max_1,tm,tm,tm,24.59,15500000,25.51,3481000,0.9097,16.96,-0.3735,3.299e-08,5.108e-05,5.287e-05,-34.41,-31.31,0.05964,0.2982,0.02312,-0.03652,12300000,-12830000,2.5,-2.5,0.7,25
PVT_max_2,tm,tm,tm,24.1,13070000,28.45,3512000,1.221,16.02,-0.3344,3.518e-08,5.303e-05,5.513e-05,-36.79,-33.99,0.05732,0.2866,0.02209,-0.03522,10530000,-11120000,2.5,-2.5,0.7,85
PVT_max_3,tm,tm,tm,25.88,16410000,19.05,3478000,0.7951,19.67,-0.6313,2.823e-08,4.432e-05,4.68e-05,-20.76,-23.21,0.06154,0.3077,0.0242,-0.03734,7090000,-5056000,2.25,-2.5,0.7,-25
PVT_max_4,tm,tm,tm,25.41,13710000,22.65,3518000,1.068,18.63,-0.5878,3.024e-08,4.648e-05,4.89e-05,-23.17,-24.33,0.06067,0.3034,0.0227,-0.03797,5887000,-4406000,2.25,-2.5,0.7,25
PVT_max_5,tm,tm,tm,24.79,11410000,25.05,3554000,1.425,17.36,-0.5465,3.237e-08,4.872e-05,5.15e-05,-25.42,-25.84,0.05908,0.2954,0.02108,-0.038,4815000,-3957000,2.25,-2.5,0.7,85
PVT_max_6,tm,tm,tm,24.25,21260000,25.1,3445000,0.5878,16.32,-0.2127,3.339e-08,5.37e-05,5.532e-05,-42.39,-36.28,0.05823,0.2911,0.02468,-0.03354,18420000,-18950000,2.75,-2.5,0.7,-25
PVT_max_7,tm,tm,tm,23.87,17650000,26.49,3469000,0.79,15.61,-0.1693,3.542e-08,5.539e-05,5.674e-05,-39.83,-37.15,0.05637,0.2819,0.02428,-0.03209,16410000,-17060000,2.75,-2.5,0.7,25
PVT_max_8,tm,tm,tm,23.46,14470000,31.4,3494000,1.063,14.89,-0.1326,3.766e-08,5.72e-05,5.877e-05,-37.61,-38.11,0.05402,0.2701,0.02358,-0.03044,14370000,-15180000,2.75,-2.5,0.7,85
PVT_max_9,tm,tm,tm,24.84,17580000,22.75,3426000,0.7795,17.47,-0.1981,3.084e-08,4.91e-05,5.19e-05,-30.34,-27.66,0.05909,0.2954,0.02728,-0.0318,13130000,-13060000,2.5,-2.25,0.7,-25
PVT_max_10,tm,tm,tm,24.43,14440000,27.69,3457000,1.048,16.66,-0.1562,3.285e-08,5.103e-05,5.375e-05,-33.64,-30.41,0.05812,0.2906,0.02643,-0.03169,11450000,-11470000,2.5,-2.25,0.7,25
PVT_max_11,tm,tm,tm,23.88,12120000,29.58,3487000,1.403,15.64,-0.1194,3.504e-08,5.309e-05,5.622e-05,-35.07,-33.34,0.05582,0.2791,0.02534,-0.03049,9846000,-9981000,2.5,-2.25,0.7,85
PVT_max_12,tm,tm,tm,25.76,14990000,21.47,3461000,0.9328,19.41,-0.4082,2.806e-08,4.415e-05,4.739e-05,-20.89,-22.79,0.05963,0.2981,0.02737,-0.03226,6785000,-4558000,2.25,-2.25,0.7,-25
PVT_max_13,tm,tm,tm,25.23,12630000,23.78,3500000,1.251,18.27,-0.3665,3.006e-08,4.642e-05,4.968e-05,-23.12,-23.85,0.05872,0.2936,0.02583,-0.03289,5632000,-3989000,2.25,-2.25,0.7,25
PVT_max_14,tm,tm,tm,24.6,10340000,27.83,3534000,1.662,16.99,-0.3274,3.22e-08,4.881e-05,5.255e-05,-25.05,-25.36,0.05711,0.2855,0.02417,-0.03294,4591000,-3611000,2.25,-2.25,0.7,85
PVT_max_15,tm,tm,tm,24.1,19900000,26.54,3418000,0.667,16.04,0.003737,3.328e-08,5.364e-05,5.616e-05,-39.02,-35.8,0.05712,0.2856,0.02817,-0.02895,17180000,-17000000,2.75,-2.25,0.7,-25
PVT_max_16,tm,tm,tm,23.72,16210000,29.4,3440000,0.8977,15.34,0.0449,3.531e-08,5.54e-05,5.773e-05,-37.01,-36.87,0.0552,0.276,0.02769,-0.02751,15240000,-15300000,2.75,-2.25,0.7,25
PVT_max_17,tm,tm,tm,23.26,13570000,33.2,3464000,1.207,14.55,0.0792,3.754e-08,5.729e-05,5.996e-05,-35.43,-37.91,0.05276,0.2638,0.02691,-0.02585,13340000,-13640000,2.75,-2.25,0.7,85
PVT_max_18,tm,tm,tm,25.12,20470000,20.94,3469000,0.5955,18.03,-0.6399,3.11e-08,4.91e-05,5.062e-05,-30.4,-29.3,0.06193,0.3096,0.02024,-0.04168,14940000,-16230000,2.5,-2.75,0.7,-25
PVT_max_19,tm,tm,tm,24.71,16830000,23.16,3502000,0.7998,17.19,-0.5944,3.313e-08,5.088e-05,5.217e-05,-34.76,-32.14,0.0608,0.304,0.01954,-0.04126,12970000,-14190000,2.5,-2.75,0.7,25
