Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS,V_bias,temperature
PVT_mid_0,tm,tm,tm,22.92,19810000,30.96,3408000,0.6645,13.99,-0.1982,3.469e-08,5.913e-05,6.27e-05,-40.02,-38.68,0.05014,0.2507,0.02046,-0.02968,12340000,-15230000,2.5,-2.5,0.4,-25
PVT_mid_1,tm,tm,tm,22.29,16070000,36.28,3432000,0.8947,13.02,-0.1585,3.702e-08,6.234e-05,6.611e-05,-38.43,-39.68,0.04716,0.2358,0.0196,-0.02756,10430000,-13530000,2.5,-2.5,0.4,25
PVT_mid_2,tm,tm,tm,21.55,13470000,39.42,3456000,1.204,11.95,-0.1261,3.973e-08,6.642e-05,7.077e-05,-37.59,-41.23,0.04377,0.2188,0.01846,-0.0253,8703000,-11830000,2.5,-2.5,0.4,85
PVT_mid_3,tm,tm,tm,22.75,17460000,33.04,3404000,0.7757,13.72,-0.398,3.309e-08,6.01e-05,6.485e-05,-43.95,-37.38,0.04878,0.2439,0.01651,-0.03227,6719000,-9518000,2.25,-2.5,0.4,-25
PVT_mid_4,tm,tm,tm,21.99,14340000,36.67,3435000,1.044,12.57,-0.3573,3.565e-08,6.457e-05,6.975e-05,-43.49,-39.59,0.04541,0.2271,0.01539,-0.03002,5561000,-7960000,2.25,-2.5,0.4,25
PVT_mid_5,tm,tm,tm,21.06,11990000,42.39,3466000,1.398,11.3,-0.3223,3.862e-08,6.994e-05,7.599e-05,-42.06,-42.25,0.04175,0.2087,0.01409,-0.02766,4563000,-6465000,2.25,-2.5,0.4,85
PVT_mid_6,tm,tm,tm,22.67,21800000,32.46,3415000,0.5798,13.59,-0.004908,3.649e-08,6.086e-05,6.376e-05,-35.88,-40.3,0.04922,0.2461,0.02331,-0.02591,16670000,-18540000,2.75,-2.5,0.4,-25
PVT_mid_7,tm,tm,tm,22.14,18150000,35.52,3432000,0.78,12.8,0.03303,3.872e-08,6.337e-05,6.628e-05,-35.05,-40.97,0.0468,0.234,0.02274,-0.02406,14560000,-16790000,2.75,-2.5,0.4,25
PVT_mid_8,tm,tm,tm,21.54,14780000,40.58,3452000,1.052,11.94,0.06278,4.13e-08,6.658e-05,6.987e-05,-34.69,-42.04,0.04391,0.2196,0.02184,-0.02207,12460000,-15010000,2.75,-2.5,0.4,85
PVT_mid_9,tm,tm,tm,22.61,18290000,33.92,3382000,0.7643,13.51,0.01301,3.471e-08,5.982e-05,6.466e-05,-37.68,-38.48,0.04838,0.2419,0.02358,-0.02481,11980000,-13780000,2.5,-2.25,0.4,-25
PVT_mid_10,tm,tm,tm,21.96,14890000,39.07,3404000,1.03,12.53,0.05005,3.71e-08,6.34e-05,6.861e-05,-36.64,-39.64,0.04526,0.2263,0.02262,-0.02264,10090000,-12300000,2.5,-2.25,0.4,25
PVT_mid_11,tm,tm,tm,21.12,12500000,43.39,3427000,1.383,11.38,0.07963,3.991e-08,6.797e-05,7.403e-05,-36.21,-41.44,0.04175,0.2087,0.0214,-0.02034,8368000,-10860000,2.5,-2.25,0.4,85
PVT_mid_12,tm,tm,tm,22.31,15720000,36.45,3382000,0.9081,13.05,-0.1827,3.332e-08,6.179e-05,6.797e-05,-42.24,-37.6,0.0464,0.232,0.01939,-0.02701,6497000,-8584000,2.25,-2.25,0.4,-25
PVT_mid_13,tm,tm,tm,21.48,13240000,40.17,3412000,1.221,11.85,-0.1445,3.602e-08,6.688e-05,7.375e-05,-41.21,-40.14,0.04293,0.2147,0.01821,-0.02472,5339000,-7265000,2.25,-2.25,0.4,25
PVT_mid_14,tm,tm,tm,20.48,10890000,45.95,3442000,1.629,10.57,-0.1121,3.918e-08,7.3e-05,8.107e-05,-40.26,-43.16,0.0392,0.196,0.01686,-0.02233,4344000,-5986000,2.25,-2.25,0.4,85
PVT_mid_15,tm,tm,tm,22.43,20420000,34.32,3383000,0.6571,13.23,0.2031,3.646e-08,6.127e-05,6.543e-05,-34.5,-40.15,0.04781,0.2391,0.02655,-0.02126,16140000,-17070000,2.75,-2.25,0.4,-25
PVT_mid_16,tm,tm,tm,21.87,16720000,38.84,3398000,0.8855,12.41,0.2381,3.871e-08,6.398e-05,6.831e-05,-33.88,-40.87,0.04528,0.2264,0.02589,-0.01939,14080000,-15430000,2.75,-2.25,0.4,25
PVT_mid_17,tm,tm,tm,21.21,13860000,42.78,3415000,1.193,11.5,0.2648,4.135e-08,6.749e-05,7.239e-05,-33.71,-42.05,0.04227,0.2114,0.0249,-0.01737,12020000,-13800000,2.75,-2.25,0.4,85
PVT_mid_18,tm,tm,tm,23.16,21180000,29.51,3431000,0.5858,14.38,-0.4128,3.469e-08,5.831e-05,6.11e-05,-42.83,-38.74,0.05159,0.258,0.01711,-0.03448,12340000,-16280000,2.5,-2.75,0.4,-25
PVT_mid_19,tm,tm,tm,22.56,17530000,33.34,3455000,0.7875,13.43,-0.3709,3.698e-08,6.125e-05,6.408e-05,-40.44,-39.66,0.04877,0.2439,0.01635,-0.03242,10560000,-14370000,2.5,-2.75,0.4,25
PVT_mid_20,tm,tm,tm,21.9,14370000,37.61,3481000,1.061,12.45,-0.3359,3.96e-08,6.492e-05,6.815e-05,-39.08,-41.05,0.04552,0.2276,0.0153,-0.03022,8900000,-12470000,2.5,-2.75,0.4,85
PVT_mid_21,tm,tm,tm,23.12,19010000,29.37,3423000,0.6736,14.32,-0.6156,3.295e-08,5.853e-05,6.242e-05,-44.09,-37.24,0.05081,0.2541,0.01339,-0.03742,6854000,-10340000,2.25,-2.75,0.4,-25
PVT_mid_22,tm,tm,tm,22.4,15400000,34.47,3455000,0.9061,13.18,-0.5728,3.54e-08,6.25e-05,6.662e-05,-45.5,-39.18,0.04758,0.2379,0.01235,-0.03523,5728000,-8568000,2.25,-2.75,0.4,25
PVT_mid_23,tm,tm,tm,21.58,12960000,38.56,3487000,1.217,11.99,-0.5354,3.821e-08,6.725e-05,7.199e-05,-44.05,-41.53,0.04402,0.2201,0.01112,-0.0329,4741000,-6883000,2.25,-2.75,0.4,85
PVT_mid_24,tm,tm,tm,22.86,23110000,30.5,3441000,0.5177,13.9,-0.2182,3.654e-08,6.025e-05,6.238e-05,-37.37,-40.25,0.05037,0.2519,0.01981,-0.03056,16790000,-20000000,2.75,-2.75,0.4,-25
PVT_mid_25,tm,tm,tm,22.4,19410000,32.39,3460000,0.6949,13.18,-0.1776,3.874e-08,6.261e-05,6.461e-05,-36.25,-40.94,0.04809,0.2405,0.01934,-0.02875,14580000,-17700000,2.75,-2.75,0.4,25
PVT_mid_26,tm,tm,tm,21.81,15690000,38.3,3480000,0.937,12.32,-0.1449,4.129e-08,6.558e-05,6.78e-05,-35.68,-41.97,0.04533,0.2266,0.01854,-0.02678,12580000,-15720000,2.75,-2.75,0.4,85
PVT_mid_27,tm,tm,wp,22.92,19810000,30.96,3408000,0.6645,13.99,-0.1982,3.469e-08,5.913e-05,6.27e-05,-40.02,-38.68,0.05014,0.2507,0.02046,-0.02968,12340000,-15230000,2.5,-2.5,0.4,-25
PVT_mid_28,tm,tm,wp,22.29,16070000,36.28,3432000,0.8947,13.02,-0.1585,3.702e-08,6.234e-05,6.611e-05,-38.43,-39.68,0.04716,0.2358,0.0196,-0.02756,10430000,-13530000,2.5,-2.5,0.4,25
PVT_mid_29,tm,tm,wp,21.55,13470000,39.42,3456000,1.204,11.95,-0.1261,3.973e-08,6.642e-05,7.077e-05,-37.59,-41.23,0.04377,0.2188,0.01846,-0.0253,8703000,-11830000,2.5,-2.5,0.4,85
PVT_mid_30,tm,tm,wp,22.75,17460000,33.04,3404000,0.7757,13.72,-0.398,3.309e-08,6.01e-05,6.485e-05,-43.95,-37.38,0.04878,0.2439,0.01651,-0.03227,6719000,-9518000,2.25,-2.5,0.4,-25
PVT_mid_31,tm,tm,wp,21.99,14340000,36.67,3435000,1.044,12.57,-0.3573,3.565e-08,6.457e-05,6.975e-05,-43.49,-39.59,0.04541,0.2271,0.01539,-0.03002,5561000,-7960000,2.25,-2.5,0.4,25
PVT_mid_32,tm,tm,wp,21.06,11990000,42.39,3466000,1.398,11.3,-0.3223,3.862e-08,6.994e-05,7.599e-05,-42.06,-42.25,0.04175,0.2087,0.01409,-0.02766,4563000,-6465000,2.25,-2.5,0.4,85
