Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_max_0,tm,tm,tm,24.57,15410000,25.67,3482000,0.9197,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.53,-31.42,0.05957,0.2979,0.02308,-0.03649,12240000,-12760000,2.5,-2.5
PV_max_1,tm,tm,tm,25.39,13630000,22.72,3519000,1.079,18.59,-0.5862,3.031e-08,4.656e-05,4.898e-05,-23.26,-24.38,0.06063,0.3032,0.02264,-0.03799,5847000,-4387000,2.25,-2.5
PV_max_2,tm,tm,tm,23.86,17510000,26.73,3470000,0.7986,15.59,-0.1679,3.55e-08,5.546e-05,5.68e-05,-39.74,-37.18,0.05629,0.2815,0.02426,-0.03203,16330000,-16990000,2.75,-2.5
PV_max_3,tm,tm,tm,24.42,14350000,27.81,3458000,1.06,16.62,-0.1548,3.293e-08,5.11e-05,5.382e-05,-33.73,-30.52,0.05806,0.2903,0.02639,-0.03167,11390000,-11410000,2.5,-2.25
PV_max_4,tm,tm,tm,25.21,12550000,23.82,3501000,1.264,18.22,-0.3651,3.014e-08,4.65e-05,4.977e-05,-23.19,-23.9,0.05867,0.2934,0.02577,-0.0329,5593000,-3973000,2.25,-2.25
PV_max_5,tm,tm,tm,23.7,16070000,29.59,3441000,0.9076,15.32,0.04628,3.538e-08,5.546e-05,5.78e-05,-36.94,-36.9,0.05512,0.2756,0.02766,-0.02745,15170000,-15240000,2.75,-2.25
PV_max_6,tm,tm,tm,24.69,16690000,23.36,3503000,0.8085,17.16,-0.5928,3.32e-08,5.095e-05,5.223e-05,-34.91,-32.24,0.06073,0.3037,0.01951,-0.04122,12890000,-14120000,2.5,-2.75
PV_max_7,tm,tm,tm,25.52,14630000,21.38,3536000,0.9353,18.87,-0.8098,3.048e-08,4.64e-05,4.835e-05,-23.35,-24.92,0.06225,0.3113,0.01921,-0.04304,6037000,-4816000,2.25,-2.75
PV_max_8,tm,tm,tm,24.01,18780000,24.99,3494000,0.7107,15.88,-0.3878,3.561e-08,5.518e-05,5.598e-05,-43.42,-37.14,0.05716,0.2858,0.02059,-0.03657,17150000,-18690000,2.75,-2.75
PV_max_9,tm,tm,wp,24.57,15410000,25.67,3482000,0.9197,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.53,-31.42,0.05957,0.2979,0.02308,-0.03649,12240000,-12760000,2.5,-2.5
