Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_min_0,tm,tm,tm,18.85,16360000,50.26,3394000,0.8947,8.755,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7212000,-8546000,2.5,-2.5
PV_min_1,tm,tm,tm,16.76,14620000,58.93,3386000,1.04,6.887,-0.1881,5.25e-08,0.0001121,0.0001228,-46.75,-58.58,0.02636,0.1318,0.009097,-0.01726,4264000,-4911000,2.25,-2.5
PV_min_2,tm,tm,tm,19.95,18320000,46.62,3399000,0.7819,9.943,0.1829,4.405e-08,7.754e-05,8.194e-05,-35.38,-44.81,0.03677,0.1838,0.02073,-0.01604,10900000,-13650000,2.75,-2.5
PV_min_3,tm,tm,tm,18.22,15070000,55.15,3362000,1.029,8.144,0.2008,4.736e-08,9.251e-05,0.0001016,-39.07,-49.18,0.03053,0.1526,0.01845,-0.01208,7201000,-8854000,2.5,-2.25
PV_min_4,tm,tm,tm,15.95,13500000,63.2,3360000,1.216,6.27,0.0167,5.476e-08,0.00012,0.0001344,-45.85,-61.09,0.02413,0.1206,0.01204,-0.01209,4122000,-4860000,2.25,-2.25
PV_min_5,tm,tm,tm,19.5,16890000,50,3358000,0.8872,9.443,0.3798,4.447e-08,7.977e-05,8.621e-05,-34.85,-45.16,0.03492,0.1746,0.02366,-0.01125,11120000,-13510000,2.75,-2.25
PV_min_6,tm,tm,tm,19.38,17810000,47.41,3419000,0.7881,9.31,-0.2042,4.539e-08,8.423e-05,8.897e-05,-40.28,-46.95,0.03469,0.1735,0.01254,-0.02216,7100000,-7972000,2.5,-2.75
PV_min_7,tm,tm,tm,17.47,15720000,54.84,3407000,0.9038,7.475,-0.3961,5.061e-08,0.0001051,0.0001133,-47.8,-56.27,0.0285,0.1425,0.006046,-0.02245,4363000,-4909000,2.25,-2.75
PV_min_8,tm,tm,tm,20.36,19590000,43.13,3428000,0.6969,10.42,-0.01949,4.373e-08,7.548e-05,7.848e-05,-35.87,-44.52,0.03841,0.192,0.01757,-0.02083,10430000,-13440000,2.75,-2.75
PV_min_9,tm,tm,wp,18.85,16360000,50.26,3394000,0.8947,8.755,0.0003448,4.627e-08,8.812e-05,9.458e-05,-39.67,-47.97,0.0327,0.1635,0.01558,-0.01712,7212000,-8546000,2.5,-2.5
PV_min_10,tm,tm,wp,16.76,14620000,58.93,3386000,1.04,6.887,-0.1881,5.25e-08,0.0001121,0.0001228,-46.75,-58.58,0.02636,0.1318,0.009097,-0.01726,4264000,-4911000,2.25,-2.5
