Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg
Proc_mid_0,tm,tm,tm,22.27,15930000,36.45,3433000,0.9045,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13470000
Proc_mid_1,tm,tm,wp,22.27,15930000,36.45,3433000,0.9045,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13470000
Proc_mid_2,tm,tm,ws,22.27,15930000,36.45,3433000,0.9045,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13470000
Proc_mid_3,tm,wp,tm,21.82,19750000,34.63,3523000,0.705,12.33,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9745000,-14180000
Proc_mid_4,tm,wp,wp,21.82,19750000,34.63,3523000,0.705,12.33,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9745000,-14180000
Proc_mid_5,tm,wp,ws,21.82,19750000,34.63,3523000,0.705,12.33,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9745000,-14180000
Proc_mid_6,tm,ws,tm,22.63,12950000,36.32,3340000,1.213,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.5,-39.3,0.04913,0.2456,0.02015,-0.02898,9497000,-10460000
Proc_mid_7,tm,ws,wp,22.63,12950000,36.32,3340000,1.213,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.5,-39.3,0.04913,0.2456,0.02015,-0.02898,9497000,-10460000
Proc_mid_8,tm,ws,ws,22.63,12950000,36.32,3340000,1.213,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.5,-39.3,0.04913,0.2456,0.02015,-0.02898,9497000,-10460000
Proc_mid_9,tm,wo,tm,21.11,13820000,43.28,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.99,-42.12,0.0415,0.2075,0.01414,-0.02736,8757000,-11540000
Proc_mid_10,tm,wo,wp,21.11,13820000,43.28,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.99,-42.12,0.0415,0.2075,0.01414,-0.02736,8757000,-11540000
Proc_mid_11,tm,wo,ws,21.11,13820000,43.28,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.99,-42.12,0.0415,0.2075,0.01414,-0.02736,8757000,-11540000
Proc_mid_12,tm,wz,tm,22.62,18220000,31.21,3452000,0.7475,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11540000,-15150000
Proc_mid_13,tm,wz,wp,22.62,18220000,31.21,3452000,0.7475,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11540000,-15150000
Proc_mid_14,tm,wz,ws,22.62,18220000,31.21,3452000,0.7475,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11540000,-15150000
Proc_mid_15,wp,tm,tm,22.27,15960000,36.52,3433000,0.904,12.98,-0.1572,3.711e-08,6.248e-05,6.625e-05,-38.39,-39.73,0.04704,0.2352,0.01957,-0.02748,10370000,-13480000
Proc_mid_16,wp,tm,wp,22.27,15960000,36.52,3433000,0.904,12.98,-0.1572,3.711e-08,6.248e-05,6.625e-05,-38.39,-39.73,0.04704,0.2352,0.01957,-0.02748,10370000,-13480000
Proc_mid_17,wp,tm,ws,22.27,15960000,36.52,3433000,0.904,12.98,-0.1572,3.711e-08,6.248e-05,6.625e-05,-38.39,-39.73,0.04704,0.2352,0.01957,-0.02748,10370000,-13480000
Proc_mid_18,wp,wp,tm,21.82,19790000,34.64,3523000,0.7045,12.34,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9741000,-14170000
Proc_mid_19,wp,wp,wp,21.82,19790000,34.64,3523000,0.7045,12.34,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9741000,-14170000
Proc_mid_20,wp,wp,ws,21.82,19790000,34.64,3523000,0.7045,12.34,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9741000,-14170000
Proc_mid_21,wp,ws,tm,22.63,12970000,36.45,3340000,1.213,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.51,-39.3,0.04913,0.2457,0.02015,-0.02898,9506000,-10470000
Proc_mid_22,wp,ws,wp,22.63,12970000,36.45,3340000,1.213,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.51,-39.3,0.04913,0.2457,0.02015,-0.02898,9506000,-10470000
Proc_mid_23,wp,ws,ws,22.63,12970000,36.45,3340000,1.213,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.51,-39.3,0.04913,0.2457,0.02015,-0.02898,9506000,-10470000
Proc_mid_24,wp,wo,tm,21.12,13840000,43.35,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-46,-42.12,0.0415,0.2075,0.01414,-0.02736,8759000,-11540000
Proc_mid_25,wp,wo,wp,21.12,13840000,43.35,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-46,-42.12,0.0415,0.2075,0.01414,-0.02736,8759000,-11540000
Proc_mid_26,wp,wo,ws,21.12,13840000,43.35,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-46,-42.12,0.0415,0.2075,0.01414,-0.02736,8759000,-11540000
Proc_mid_27,wp,wz,tm,22.62,18260000,31.21,3452000,0.747,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11530000,-15170000
Proc_mid_28,wp,wz,wp,22.62,18260000,31.21,3452000,0.747,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11530000,-15170000
Proc_mid_29,wp,wz,ws,22.62,18260000,31.21,3452000,0.747,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11530000,-15170000
Proc_mid_30,ws,tm,tm,22.27,15890000,36.38,3433000,0.9051,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13460000
Proc_mid_31,ws,tm,wp,22.27,15890000,36.38,3433000,0.9051,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13460000
Proc_mid_32,ws,tm,ws,22.27,15890000,36.38,3433000,0.9051,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13460000
Proc_mid_33,ws,wp,tm,21.82,19720000,34.61,3523000,0.7054,12.33,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9754000,-14200000
Proc_mid_34,ws,wp,wp,21.82,19720000,34.61,3523000,0.7054,12.33,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9754000,-14200000
Proc_mid_35,ws,wp,ws,21.82,19720000,34.61,3523000,0.7054,12.33,-0.1321,3.737e-08,6.919e-05,6.94e-05,-38.44,-40.38,0.0447,0.2235,0.01882,-0.02588,9754000,-14200000
Proc_mid_36,ws,ws,tm,22.63,12930000,36.19,3340000,1.214,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.49,-39.3,0.04913,0.2456,0.02015,-0.02898,9488000,-10440000
Proc_mid_37,ws,ws,wp,22.63,12930000,36.19,3340000,1.214,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.49,-39.3,0.04913,0.2456,0.02015,-0.02898,9488000,-10440000
Proc_mid_38,ws,ws,ws,22.63,12930000,36.19,3340000,1.214,13.54,-0.1868,3.713e-08,5.694e-05,6.391e-05,-37.49,-39.3,0.04913,0.2456,0.02015,-0.02898,9488000,-10440000
Proc_mid_39,ws,wo,tm,21.11,13800000,43.21,3413000,1.143,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.98,-42.12,0.0415,0.2075,0.01414,-0.02736,8748000,-11530000
Proc_mid_40,ws,wo,wp,21.11,13800000,43.21,3413000,1.143,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.98,-42.12,0.0415,0.2075,0.01414,-0.02736,8748000,-11530000
Proc_mid_41,ws,wo,ws,21.11,13800000,43.21,3413000,1.143,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.98,-42.12,0.0415,0.2075,0.01414,-0.02736,8748000,-11530000
Proc_mid_42,ws,wz,tm,22.62,18190000,31.21,3452000,0.7479,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11530000,-15150000
Proc_mid_43,ws,wz,wp,22.62,18190000,31.21,3452000,0.7479,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11530000,-15150000
Proc_mid_44,ws,wz,ws,22.62,18190000,31.21,3452000,0.7479,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11530000,-15150000
