Corner,VDD,VSS,cap_scs,mos_scs,res_scs,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PV_0,2.25,-2.25,tm,tm,tm,33.54,6758000,71.57,10530000,4.943,1.89,-1.841,2.096,-1.841,3.229e-05,0.0001259,1.479,-1.495,0.0299,-0.02958
PV_1,2.5,-2.25,tm,tm,tm,30.89,5715000,76.58,9687000,4.517,2.105,-1.943,2.335,-1.943,3.811e-05,0.000151,1.481,-1.5,0.03,-0.02962
PV_2,2.75,-2.25,tm,tm,tm,27.49,4367000,81.77,8883000,4.164,2.313,-1.996,2.573,-1.996,4.96e-05,0.0001992,1.481,-1.503,0.03006,-0.02963
PV_3,2.25,-2.5,tm,tm,tm,33.9,7746000,71.76,9855000,4.522,1.875,-2.101,2.085,-2.101,2.494e-05,0.0001101,1.478,-1.513,0.03027,-0.02956
PV_4,2.5,-2.5,tm,tm,tm,30.8,6199000,76.79,9029000,4.167,2.089,-2.19,2.323,-2.19,3.096e-05,0.0001388,1.48,-1.514,0.03028,-0.0296
PV_5,2.75,-2.5,tm,tm,tm,27.63,4851000,81.81,8325000,3.869,2.297,-2.238,2.561,-2.238,3.97e-05,0.0001805,pending,pending,pending,pending
PV_6,2.25,-2.75,tm,tm,tm,33.97,8525000,72.47,9237000,4.171,1.858,-2.361,2.072,-2.361,1.943e-05,9.983e-05,1.477,-1.513,0.03027,-0.02954
PV_7,2.5,-2.75,tm,tm,tm,30.6,6604000,77.34,8449000,3.872,2.072,-2.438,2.31,-2.438,2.5e-05,0.0001305,1.479,-1.514,0.03028,-0.02957
PV_8,2.75,-2.75,tm,tm,tm,27.76,5339000,81.79,7847000,3.617,2.279,-2.482,2.548,-2.482,3.119e-05,0.000165,pending,pending,pending,pending
PV_9,2.25,-2.25,wp,tm,tm,33.54,6768000,71.56,10530000,4.944,1.89,-1.841,2.096,-1.841,3.232e-05,0.0001258,1.479,-1.495,0.0299,-0.02958
PV_10,2.5,-2.25,wp,tm,tm,30.89,5722000,76.56,9679000,4.518,2.105,-1.943,2.335,-1.943,3.817e-05,0.0001509,1.481,-1.5,0.03,-0.02962
PV_11,2.75,-2.25,wp,tm,tm,27.49,4372000,81.76,8876000,4.164,2.313,-1.996,2.573,-1.996,4.967e-05,0.000199,1.481,-1.503,0.03006,-0.02963
PV_12,2.25,-2.5,wp,tm,tm,33.9,7757000,71.75,9846000,4.522,1.875,-2.101,2.085,-2.101,2.497e-05,0.00011,pending,pending,pending,pending
PV_13,2.5,-2.5,wp,tm,tm,30.8,6206000,76.77,9021000,4.168,2.089,-2.19,2.323,-2.19,3.101e-05,0.0001387,1.48,-1.514,0.03028,-0.0296
PV_14,2.75,-2.5,wp,tm,tm,27.63,4856000,81.8,8318000,3.869,2.297,-2.238,2.561,-2.238,3.977e-05,0.0001803,1.48,-1.515,0.0303,-0.02961
PV_15,2.25,-2.75,wp,tm,tm,33.97,8536000,72.46,9228000,4.172,1.858,-2.361,2.072,-2.361,1.947e-05,9.976e-05,1.477,-1.513,0.03027,-0.02954
PV_16,2.5,-2.75,wp,tm,tm,30.6,6613000,77.33,8441000,3.872,2.072,-2.438,2.31,-2.438,2.504e-05,0.0001304,pending,pending,pending,pending
PV_17,2.75,-2.75,wp,tm,tm,27.76,5345000,81.79,7841000,3.617,2.279,-2.482,2.548,-2.482,3.125e-05,0.0001649,pending,pending,pending,pending
PV_18,2.25,-2.25,ws,tm,tm,33.54,6748000,71.59,10540000,4.942,1.89,-1.841,2.096,-1.841,3.225e-05,0.000126,1.479,-1.495,0.0299,-0.02958
PV_19,2.5,-2.25,ws,tm,tm,30.89,5708000,76.59,9696000,4.517,2.105,-1.943,2.335,-1.943,3.806e-05,0.0001511,1.481,-1.5,0.03,-0.02962
PV_20,2.75,-2.25,ws,tm,tm,27.49,4363000,81.77,8890000,4.163,2.313,-1.996,2.573,-1.996,4.952e-05,0.0001993,1.481,-1.503,0.03006,-0.02963
PV_21,2.25,-2.5,ws,tm,tm,33.9,7735000,71.77,9864000,4.521,1.875,-2.101,2.085,-2.101,2.491e-05,0.0001102,1.478,-1.513,0.03027,-0.02956
PV_22,2.5,-2.5,ws,tm,tm,30.8,6192000,76.8,9037000,4.167,2.089,-2.19,2.323,-2.19,3.091e-05,0.0001389,1.48,-1.514,0.03028,-0.0296
PV_23,2.75,-2.5,ws,tm,tm,27.63,4845000,81.81,8332000,3.868,2.297,-2.238,2.561,-2.238,3.963e-05,0.0001806,pending,pending,pending,pending
PV_24,2.25,-2.75,ws,tm,tm,33.97,8513000,72.48,9246000,4.171,1.858,-2.361,2.072,-2.361,1.94e-05,9.99e-05,1.477,-1.513,0.03027,-0.02954
PV_25,2.5,-2.75,ws,tm,tm,30.6,6595000,77.34,8456000,3.871,2.072,-2.438,2.31,-2.438,2.496e-05,0.0001306,pending,pending,pending,pending
PV_26,2.75,-2.75,ws,tm,tm,27.76,5333000,81.8,7854000,3.616,2.279,-2.482,2.548,-2.482,3.113e-05,0.0001651,pending,pending,pending,pending
PV_27,2.25,-2.25,tm,wp,tm,29.26,5365000,78.31,9443000,4.355,1.887,-1.962,2.099,-1.962,2.087e-05,0.0001679,1.479,-1.508,0.03016,-0.02958
PV_28,2.5,-2.25,tm,wp,tm,25.92,4140000,83.34,8658000,3.996,2.103,-2.012,2.338,-2.012,2.726e-05,0.0002192,pending,pending,pending,pending
PV_29,2.75,-2.25,tm,wp,tm,24.06,3660000,86.57,8099000,3.695,2.311,-2.043,2.577,-2.043,3.095e-05,0.0002489,pending,pending,pending,pending
PV_30,2.25,-2.5,tm,wp,tm,28.97,5777000,78.86,8712000,3.999,1.872,-2.212,2.087,-2.212,1.69e-05,0.0001572,1.478,-1.513,0.03027,-0.02956
PV_31,2.5,-2.5,tm,wp,tm,26,4571000,83.54,8056000,3.698,2.086,-2.256,2.326,-2.256,2.147e-05,0.0001995,pending,pending,pending,pending
PV_32,2.75,-2.5,tm,wp,tm,24.39,4113000,86.23,7587000,3.444,2.294,-2.285,2.564,-2.285,2.387e-05,0.0002218,pending,pending,pending,pending
PV_33,2.25,-2.75,tm,wp,tm,28.61,6094000,79.43,8085000,3.701,1.855,-2.462,2.075,-2.462,1.368e-05,0.0001499,pending,pending,pending,pending
PV_34,2.5,-2.75,tm,wp,tm,26.07,4983000,83.68,7545000,3.446,2.068,-2.501,2.313,-2.501,1.675e-05,0.0001833,pending,pending,pending,pending
PV_35,2.75,-2.75,tm,wp,tm,24.75,4594000,86.1,7156000,3.228,2.275,-2.512,2.551,-2.529,1.816e-05,0.0001988,pending,pending,pending,pending
PV_36,2.25,-2.25,wp,wp,tm,29.26,5371000,78.3,9435000,4.356,1.887,-1.962,2.099,-1.962,2.09e-05,0.0001678,1.479,-1.508,0.03016,-0.02958
PV_37,2.5,-2.25,wp,wp,tm,25.92,4145000,83.34,8651000,3.996,2.103,-2.012,2.338,-2.012,2.731e-05,0.000219,1.481,-1.51,0.0302,-0.02961
PV_38,2.75,-2.25,wp,wp,tm,24.06,3663000,86.56,8092000,3.696,2.311,-2.043,2.577,-2.043,3.101e-05,0.0002487,pending,pending,pending,pending
PV_39,2.25,-2.5,wp,wp,tm,28.97,5785000,78.85,8704000,4,1.872,-2.212,2.087,-2.212,1.693e-05,0.0001571,1.478,-1.513,0.03027,-0.02956
PV_40,2.5,-2.5,wp,wp,tm,26,4576000,83.54,8049000,3.699,2.086,-2.256,2.326,-2.256,2.151e-05,0.0001994,pending,pending,pending,pending
PV_41,2.75,-2.5,wp,wp,tm,24.39,4117000,86.22,7581000,3.444,2.294,-2.285,2.564,-2.285,2.392e-05,0.0002217,pending,pending,pending,pending
PV_42,2.25,-2.75,wp,wp,tm,28.61,6102000,79.42,8077000,3.702,1.855,-2.462,2.075,-2.462,1.371e-05,0.0001498,pending,pending,pending,pending
PV_43,2.5,-2.75,wp,wp,tm,26.07,4988000,83.67,7539000,3.447,2.068,-2.501,2.313,-2.501,1.679e-05,0.0001832,pending,pending,pending,pending
PV_44,2.75,-2.75,wp,wp,tm,24.75,4599000,86.09,7150000,3.228,2.275,-2.512,2.551,-2.529,1.821e-05,0.0001987,pending,pending,pending,pending
PV_45,2.25,-2.25,ws,wp,tm,29.26,5358000,78.32,9452000,4.355,1.887,-1.962,2.099,-1.962,2.083e-05,0.0001681,1.479,-1.508,0.03016,-0.02958
PV_46,2.5,-2.25,ws,wp,tm,25.92,4135000,83.35,8665000,3.995,2.103,-2.012,2.338,-2.012,2.721e-05,0.0002194,pending,pending,pending,pending
