Corner,cap_scs,mos_scs,res_scs,temperature,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
PVT_mid_0,tm,tm,tm,-25,2.5,-2.5,13.53,22.63,128200000,48.83,3394000,1301,-0.1872,3.488e-08,2.484e-07,2.674e-07,1.038,-1.472,582400000,-607400000,-46.89,-42.88,2.51
PVT_mid_1,tm,tm,tm,25,2.5,-2.5,12.7,22.08,114200000,52.33,3418000,1467,-0.146,3.72e-08,2.468e-07,2.643e-07,0.9968,-1.365,504900000,-526600000,-44.8,-43.83,2.362
PVT_mid_2,tm,tm,tm,85,2.5,-2.5,11.72,21.38,101800000,54.34,3442000,1638,-0.112,3.987e-08,2.437e-07,2.61e-07,0.9414,-1.251,421800000,-439000000,-43.77,-45.31,2.193
PVT_mid_3,tm,tm,tm,-25,2.25,-2.5,13.31,22.49,107500000,52.75,3390000,1539,-0.3883,3.325e-08,2.573e-07,2.719e-07,0.8391,-1.604,386800000,-424800000,-61.12,-41.97,2.443
PVT_mid_4,tm,tm,tm,25,2.25,-2.5,12.26,21.77,94970000,55.05,3421000,1741,-0.3462,3.577e-08,2.568e-07,2.692e-07,0.7846,-1.49,325100000,-348800000,-60.32,-43.85,2.274
PVT_mid_5,tm,tm,tm,85,2.25,-2.5,11.13,20.93,85960000,58,3452000,1943,-0.3098,3.869e-08,2.539e-07,2.661e-07,0.721,-1.371,265800000,-279700000,-52.91,-46.33,2.092
PVT_mid_6,tm,tm,tm,-25,2.75,-2.5,13.15,22.38,146200000,48.89,3401000,1141,0.007288,3.671e-08,2.403e-07,2.642e-07,1.181,-1.284,720200000,-697800000,-41.09,-44.51,2.465
PVT_mid_7,tm,tm,tm,25,2.75,-2.5,12.49,21.93,131500000,50.31,3418000,1279,0.04694,3.892e-08,2.381e-07,2.608e-07,1.155,-1.19,648900000,-638900000,-40.27,-45.15,2.345
PVT_mid_8,tm,tm,tm,85,2.75,-2.5,11.69,21.36,118700000,53.11,3437000,1424,0.07845,4.148e-08,2.35e-07,2.571e-07,1.112,-1.089,561200000,-563400000,-39.95,-46.16,2.2
PVT_mid_9,tm,tm,tm,-25,2.5,-2.25,13.12,22.36,128000000,49.85,3368000,1300,0.02409,3.489e-08,2.437e-07,2.637e-07,1.194,-1.229,574700000,-602600000,-44.08,-42.65,2.423
