Corner,cap_scs,mos_scs,res_scs,temperature,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
PVT_min_0,tm,tm,tm,-25,2.5,-2.5,9.605,19.65,150100000,58.97,3360000,1123,-0.02336,4.226e-08,2.373e-07,2.583e-07,0.8453,-0.9705,432300000,-445500000,-44.6,-48.65,1.816
PVT_min_1,tm,tm,tm,25,2.5,-2.5,8.584,18.67,135500000,63.19,3379000,1257,0.01252,4.621e-08,2.347e-07,2.546e-07,0.7967,-0.8482,388500000,-390300000,-44.82,-52.01,1.645
PVT_min_2,tm,tm,tm,85,2.5,-2.5,7.652,17.68,122800000,66.18,3399000,1397,0.04006,5.05e-08,2.313e-07,2.506e-07,0.7454,-0.7378,335000000,-334400000,-45.3,-55.79,1.483
PVT_min_3,tm,tm,tm,-25,2.25,-2.5,7.326,17.3,132600000,69.67,3346000,1286,-0.2151,4.867e-08,2.448e-07,2.631e-07,0.4867,-0.9435,283900000,-283900000,-54.03,-58.56,1.43
PVT_min_4,tm,tm,tm,25,2.25,-2.5,6.742,16.58,118500000,72.88,3371000,1447,-0.1774,5.232e-08,2.428e-07,2.597e-07,0.4694,-0.855,255000000,-253700000,-52.74,-62.18,1.324
PVT_min_5,tm,tm,tm,85,2.25,-2.5,6.221,15.88,106000000,74.86,3397000,1613,-0.1471,5.599e-08,2.393e-07,2.56e-07,0.4489,-0.7768,219100000,-219900000,-51.98,-64.73,1.226
PVT_min_6,tm,tm,tm,-25,2.75,-2.5,10.67,20.56,169200000,53.66,3371000,1005,0.1628,4.088e-08,2.305e-07,2.548e-07,1.102,-0.9119,582000000,-595500000,-39.86,-47.43,2.014
PVT_min_7,tm,tm,tm,25,2.75,-2.5,9.75,19.78,151300000,56.87,3384000,1118,0.1964,4.408e-08,2.275e-07,2.507e-07,1.056,-0.7929,529300000,-528800000,-40.23,-48.99,1.849
PVT_min_8,tm,tm,tm,85,2.75,-2.5,8.747,18.84,137900000,60.72,3400000,1237,0.2213,4.792e-08,2.243e-07,2.464e-07,0.9981,-0.6749,459900000,-459000000,-40.96,-51.49,1.673
PVT_min_9,tm,tm,tm,-25,2.5,-2.25,9.013,19.1,151000000,60.97,3331000,1114,0.1804,4.307e-08,2.325e-07,2.54e-07,0.9903,-0.7157,428400000,-440500000,-43.79,-49.4,1.706
PVT_min_10,tm,tm,tm,25,2.5,-2.25,7.997,18.06,136600000,64.9,3347000,1244,0.2132,4.725e-08,2.296e-07,2.499e-07,0.9402,-0.596,380900000,-384000000,-44.19,-53.12,1.536
PVT_min_11,tm,tm,tm,85,2.5,-2.25,7.091,17.01,124100000,68.61,3366000,1380,0.2375,5.174e-08,2.259e-07,2.456e-07,0.8881,-0.4895,327000000,-327200000,-44.84,-57.13,1.378
PVT_min_12,tm,tm,tm,-25,2.25,-2.25,6.686,16.5,132900000,72.61,3322000,1281,-0.007132,5.084e-08,2.392e-07,2.597e-07,0.6325,-0.6782,276400000,-275200000,-52.56,-61.15,1.311
PVT_min_13,tm,tm,tm,25,2.25,-2.25,6.157,15.79,119000000,75.53,3346000,1438,0.02773,5.451e-08,2.369e-07,2.559e-07,0.6166,-0.596,246500000,-245300000,-51.67,-64.44,1.213
PVT_min_14,tm,tm,tm,85,2.25,-2.25,5.678,15.08,106800000,76.96,3370000,1598,0.05493,5.826e-08,2.332e-07,2.518e-07,0.5968,-0.5238,211000000,-211300000,-51.19,-66.66,1.121
PVT_min_15,tm,tm,tm,-25,2.75,-2.25,10.23,20.2,170700000,54.32,3334000,993.7,0.3632,4.112e-08,2.269e-07,2.491e-07,1.253,-0.6732,582700000,-594900000,-39.2,-47.46,1.927
