Corner,V_bias,cap_scs,mos_scs,res_scs,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_min_0,0.15,tm,tm,tm,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_1,0.15,wp,tm,tm,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_2,0.15,ws,tm,tm,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_3,0.15,tm,wp,tm,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_4,0.15,wp,wp,tm,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_5,0.15,ws,wp,tm,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_6,0.15,tm,ws,tm,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_7,0.15,wp,ws,tm,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_8,0.15,ws,ws,tm,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_9,0.15,tm,wo,tm,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_10,0.15,wp,wo,tm,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_11,0.15,ws,wo,tm,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_12,0.15,tm,wz,tm,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_13,0.15,wp,wz,tm,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_14,0.15,ws,wz,tm,10.08,20.07,135800000,58.42,3397000,1200,0.1712,4.247e-08,2.41e-07,2.474e-07,0.09511,1.046,-0.8562,448200000,-455600000,-38.85,-47.88,1.903
Proc_min_15,0.15,tm,tm,wp,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_16,0.15,wp,tm,wp,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_17,0.15,ws,tm,wp,8.548,18.64,135000000,63.3,3380000,1262,0.01368,4.636e-08,2.346e-07,2.545e-07,-0.02456,0.7949,-0.844,386900000,-389000000,-44.83,-52.15,1.639
Proc_min_18,0.15,tm,wp,wp,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_19,0.15,wp,wp,wp,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_20,0.15,ws,wp,wp,7.724,17.76,157200000,65.99,3468000,1181,0.04618,4.896e-08,2.454e-07,2.517e-07,0.009735,0.7579,-0.7384,388500000,-386200000,-45.25,-55.55,1.496
Proc_min_21,0.15,tm,ws,wp,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_22,0.15,wp,ws,wp,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_23,0.15,ws,ws,wp,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_min_24,0.15,tm,wo,wp,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_25,0.15,wp,wo,wp,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_min_26,0.15,ws,wo,wp,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
