Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS,temperature
PVT_min_0,tm,tm,tm,19.93,20240000,44.99,3374000,0.6565,9.922,-0.03501,4.211e-08,7.972e-05,8.539e-05,-39.48,-44.37,0.03624,0.1812,0.01662,-0.01962,8091000,-10360000,2.5,-2.5,-25
PVT_min_1,tm,tm,tm,18.88,16510000,50.15,3393000,0.8849,8.792,-0.0007522,4.612e-08,8.78e-05,9.424e-05,-39.66,-47.83,0.03283,0.1641,0.01562,-0.01721,7239000,-8584000,2.5,-2.5,25
PVT_min_2,tm,tm,tm,17.84,13710000,56.88,3413000,1.193,7.801,0.02512,5.05e-08,9.662e-05,0.0001042,-40.08,-51.82,0.02959,0.148,0.01456,-0.01503,6377000,-7484000,2.5,-2.5,85
PVT_min_3,tm,tm,tm,17.56,18060000,53.76,3360000,0.7636,7.549,-0.2256,4.862e-08,0.0001045,0.0001141,-47.96,-54.53,0.02855,0.1427,0.009486,-0.01906,4623000,-4955000,2.25,-2.5,-25
PVT_min_4,tm,tm,tm,16.79,14710000,58.81,3385000,1.029,6.909,-0.1893,5.236e-08,0.0001118,0.0001225,-46.79,-58.46,0.02643,0.1322,0.009111,-0.01732,4278000,-4923000,2.25,-2.5,25
PVT_min_5,tm,tm,tm,16.01,12320000,63.11,3411000,1.382,6.318,-0.1605,5.617e-08,0.0001189,0.0001309,-46.05,-61.36,0.02446,0.1223,0.008672,-0.01578,3800000,-4539000,2.25,-2.5,85
PVT_min_6,tm,tm,tm,20.85,22140000,40.27,3385000,0.5744,11.02,0.15,4.069e-08,7.176e-05,7.58e-05,-35.04,-43.13,0.04019,0.201,0.02172,-0.01847,12860000,-16540000,2.75,-2.5,-25
PVT_min_7,tm,tm,tm,19.99,18460000,46.39,3398000,0.7733,9.985,0.1819,4.392e-08,7.731e-05,8.169e-05,-35.36,-44.74,0.03689,0.1845,0.02077,-0.01612,10960000,-13740000,2.75,-2.5,25
PVT_min_8,tm,tm,tm,19.02,14980000,51.34,3414000,1.044,8.929,0.2049,4.783e-08,8.452e-05,8.955e-05,-36.04,-47.35,0.03338,0.1669,0.01958,-0.0138,9428000,-11510000,2.75,-2.5,85
PVT_min_9,tm,tm,tm,19.35,18720000,49.23,3345000,0.7543,9.275,0.1687,4.295e-08,8.32e-05,9.101e-05,-38.69,-45.16,0.03404,0.1702,0.01952,-0.01453,8317000,-10590000,2.5,-2.25,-25
PVT_min_10,tm,tm,tm,18.26,15170000,54.88,3361000,1.018,8.181,0.1998,4.72e-08,9.217e-05,0.0001012,-39.05,-49.03,0.03065,0.1532,0.01848,-0.01217,7243000,-8913000,2.5,-2.25,25
PVT_min_11,tm,tm,tm,17.14,12730000,60.52,3379000,1.369,7.196,0.2224,5.181e-08,0.0001018,0.0001124,-39.64,-53.3,0.02748,0.1374,0.01741,-0.01007,6233000,-7615000,2.5,-2.25,85
PVT_min_12,tm,tm,tm,16.73,16280000,59.33,3336000,0.8927,6.861,-0.0177,5.083e-08,0.0001122,0.0001251,-46.72,-57.32,0.02616,0.1308,0.0124,-0.01376,4569000,-5118000,2.25,-2.25,-25
PVT_min_13,tm,tm,tm,15.97,13580000,62.98,3359000,1.203,6.291,0.01563,5.462e-08,0.0001197,0.0001341,-45.87,-60.99,0.0242,0.121,0.01205,-0.01214,4139000,-4874000,2.25,-2.25,25
PVT_min_14,tm,tm,tm,15.19,11220000,67.61,3384000,1.609,5.749,0.04128,5.853e-08,0.0001272,0.0001435,-45.38,-63.57,0.02235,0.1118,0.01162,-0.01073,3618000,-4359000,2.25,-2.25,85
PVT_min_15,tm,tm,tm,20.47,20740000,43.02,3348000,0.6504,10.55,0.3504,4.094e-08,7.33e-05,7.907e-05,-34.37,-43.2,0.03844,0.1922,0.02475,-0.01369,13190000,-15640000,2.75,-2.25,-25
PVT_min_16,tm,tm,tm,19.54,17030000,49.82,3357000,0.8774,9.481,0.3789,4.434e-08,7.951e-05,8.592e-05,-34.83,-45.07,0.03504,0.1752,0.0237,-0.01134,11160000,-13570000,2.75,-2.25,25
PVT_min_17,tm,tm,tm,18.48,14040000,55.85,3369000,1.184,8.397,0.3984,4.846e-08,8.755e-05,9.501e-05,-35.65,-48.04,0.03148,0.1574,0.02245,-0.009035,9410000,-11630000,2.75,-2.25,85
PVT_min_18,tm,tm,tm,20.41,21620000,40.54,3398000,0.5794,10.49,-0.2425,4.145e-08,7.663e-05,8.092e-05,-40.29,-43.73,0.03821,0.191,0.01352,-0.02468,7708000,-9806000,2.5,-2.75,-25
PVT_min_19,tm,tm,tm,19.42,17950000,47.25,3418000,0.7795,9.352,-0.2054,4.524e-08,8.395e-05,8.866e-05,-40.28,-46.83,0.03482,0.1741,0.01257,-0.02224,7124000,-8012000,2.5,-2.75,25
PVT_min_20,tm,tm,tm,18.44,14630000,52.89,3440000,1.051,8.359,-0.1765,4.941e-08,9.202e-05,9.744e-05,-40.53,-50.51,0.03156,0.1578,0.01155,-0.02001,6437000,-7184000,2.5,-2.75,85
PVT_min_21,tm,tm,tm,18.29,19590000,49.74,3380000,0.6639,8.217,-0.4362,4.682e-08,9.78e-05,0.0001053,-49.45,-52.16,0.03081,0.154,0.006453,-0.02436,4621000,-4737000,2.25,-2.75,-25
PVT_min_22,tm,tm,tm,17.5,15820000,54.65,3406000,0.894,7.497,-0.3974,5.048e-08,0.0001048,0.000113,-47.84,-56.15,0.02857,0.1429,0.00606,-0.02251,4375000,-4910000,2.25,-2.75,25
PVT_min_23,tm,tm,tm,16.76,13290000,58.21,3433000,1.203,6.888,-0.3658,5.418e-08,0.0001115,0.0001206,-46.81,-59.24,0.02649,0.1324,0.005615,-0.02087,3943000,-4668000,2.25,-2.75,85
PVT_min_24,tm,tm,tm,21.16,23480000,38.1,3413000,0.5133,11.43,-0.05578,4.051e-08,7.024e-05,7.315e-05,-35.67,-43.03,0.04171,0.2086,0.01846,-0.02325,12190000,-17300000,2.75,-2.75,-25
PVT_min_25,tm,tm,tm,20.39,19730000,42.86,3428000,0.6893,10.46,-0.02062,4.36e-08,7.527e-05,7.827e-05,-35.86,-44.45,0.03853,0.1926,0.01761,-0.02092,10500000,-13570000,2.75,-2.75,25
