Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_mid_0,tm,tm,tm,22.27,15930000,36.45,3433000,0.9045,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13470000,2.5,-2.5
PV_mid_1,tm,tm,tm,21.96,14250000,36.74,3437000,1.055,12.53,-0.356,3.575e-08,6.475e-05,6.995e-05,-43.43,-39.68,0.04528,0.2264,0.01535,-0.02994,5521000,-7905000,2.25,-2.5
PV_mid_2,tm,tm,tm,22.12,18010000,35.76,3433000,0.7886,12.76,0.03426,3.881e-08,6.347e-05,6.639e-05,-35.03,-41,0.04671,0.2335,0.02271,-0.02399,14480000,-16720000,2.75,-2.5
PV_mid_3,tm,tm,tm,21.93,14800000,39.2,3405000,1.041,12.49,0.05126,3.72e-08,6.354e-05,6.878e-05,-36.61,-39.7,0.04514,0.2257,0.02258,-0.02256,10030000,-12240000,2.5,-2.25
PV_mid_4,tm,tm,tm,21.44,13150000,40.44,3413000,1.234,11.81,-0.1432,3.612e-08,6.709e-05,7.399e-05,-41.16,-40.24,0.0428,0.214,0.01817,-0.02464,5300000,-7218000,2.25,-2.25
PV_mid_5,tm,tm,tm,21.85,16580000,39.04,3399000,0.8953,12.38,0.2393,3.88e-08,6.409e-05,6.843e-05,-33.86,-40.9,0.04518,0.2259,0.02586,-0.01932,14000000,-15370000,2.75,-2.25
PV_mid_6,tm,tm,tm,22.54,17390000,33.56,3456000,0.7962,13.4,-0.3695,3.707e-08,6.137e-05,6.421e-05,-40.37,-39.7,0.04866,0.2433,0.01632,-0.03235,10490000,-14300000,2.5,-2.75
PV_mid_7,tm,tm,tm,22.37,15310000,34.58,3457000,0.9159,13.14,-0.5714,3.549e-08,6.265e-05,6.679e-05,-45.47,-39.26,0.04745,0.2373,0.01231,-0.03514,5690000,-8506000,2.25,-2.75
PV_mid_8,tm,tm,tm,22.38,19280000,32.43,3460000,0.7025,13.15,-0.1763,3.883e-08,6.27e-05,6.471e-05,-36.22,-40.97,0.048,0.24,0.01932,-0.02868,14500000,-17620000,2.75,-2.75
PV_mid_9,tm,tm,wp,22.27,15930000,36.45,3433000,0.9045,12.98,-0.1572,3.711e-08,6.247e-05,6.625e-05,-38.38,-39.73,0.04704,0.2352,0.01957,-0.02748,10360000,-13470000,2.5,-2.5
PV_mid_10,tm,tm,wp,21.96,14250000,36.74,3437000,1.055,12.53,-0.356,3.575e-08,6.475e-05,6.995e-05,-43.43,-39.68,0.04528,0.2264,0.01535,-0.02994,5521000,-7905000,2.25,-2.5
