Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg
Proc_max_0,tm,tm,tm,24.57,15410000,25.67,3482000,0.9197,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.53,-31.42,0.05957,0.2979,0.02308,-0.03649,12240000,-12760000
Proc_max_1,tm,tm,wp,24.57,15410000,25.67,3482000,0.9197,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.53,-31.42,0.05957,0.2979,0.02308,-0.03649,12240000,-12760000
Proc_max_2,tm,tm,ws,24.57,15410000,25.67,3482000,0.9197,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.53,-31.42,0.05957,0.2979,0.02308,-0.03649,12240000,-12760000
Proc_max_3,tm,wp,tm,24.44,19140000,23.36,3575000,0.7162,16.66,-0.3582,3.248e-08,5.491e-05,5.37e-05,-41,-33.98,0.05892,0.2946,0.02257,-0.03635,13760000,-16880000
Proc_max_4,tm,wp,wp,24.44,19140000,23.36,3575000,0.7162,16.66,-0.3582,3.248e-08,5.491e-05,5.37e-05,-41,-33.98,0.05892,0.2946,0.02257,-0.03635,13760000,-16880000
Proc_max_5,tm,wp,ws,24.44,19140000,23.36,3575000,0.7162,16.66,-0.3582,3.248e-08,5.491e-05,5.37e-05,-41,-33.98,0.05892,0.2946,0.02257,-0.03635,13760000,-16880000
Proc_max_6,tm,ws,tm,24.68,12490000,26.81,3393000,1.236,17.15,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.45,-27.94,0.05957,0.2978,0.0235,-0.03606,10020000,-9540000
Proc_max_7,tm,ws,wp,24.68,12490000,26.81,3393000,1.236,17.15,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.45,-27.94,0.05957,0.2978,0.0235,-0.03606,10020000,-9540000
Proc_max_8,tm,ws,ws,24.68,12490000,26.81,3393000,1.236,17.15,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.45,-27.94,0.05957,0.2978,0.0235,-0.03606,10020000,-9540000
Proc_max_9,tm,wo,tm,24.37,13340000,29.95,3472000,1.166,16.53,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.47,-30.62,0.05799,0.2899,0.02006,-0.03793,10900000,-11110000
Proc_max_10,tm,wo,wp,24.37,13340000,29.95,3472000,1.166,16.53,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.47,-30.62,0.05799,0.2899,0.02006,-0.03793,10900000,-11110000
Proc_max_11,tm,wo,ws,24.37,13340000,29.95,3472000,1.166,16.53,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.47,-30.62,0.05799,0.2899,0.02006,-0.03793,10900000,-11110000
Proc_max_12,tm,wz,tm,24.54,17630000,21.77,3501000,0.7575,16.87,-0.2207,3.377e-08,5.316e-05,5.205e-05,-36.9,-32.93,0.05984,0.2992,0.02516,-0.03468,13340000,-14710000
Proc_max_13,tm,wz,wp,24.54,17630000,21.77,3501000,0.7575,16.87,-0.2207,3.377e-08,5.316e-05,5.205e-05,-36.9,-32.93,0.05984,0.2992,0.02516,-0.03468,13340000,-14710000
Proc_max_14,tm,wz,ws,24.54,17630000,21.77,3501000,0.7575,16.87,-0.2207,3.377e-08,5.316e-05,5.205e-05,-36.9,-32.93,0.05984,0.2992,0.02516,-0.03468,13340000,-14710000
Proc_max_15,wp,tm,tm,24.57,15430000,25.69,3482000,0.9191,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.55,-31.42,0.05958,0.2979,0.02308,-0.03649,12240000,-12780000
Proc_max_16,wp,tm,wp,24.57,15430000,25.69,3482000,0.9191,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.55,-31.42,0.05958,0.2979,0.02308,-0.03649,12240000,-12780000
Proc_max_17,wp,tm,ws,24.57,15430000,25.69,3482000,0.9191,16.93,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.55,-31.42,0.05958,0.2979,0.02308,-0.03649,12240000,-12780000
Proc_max_18,wp,wp,tm,24.44,19180000,23.47,3575000,0.7157,16.67,-0.3582,3.248e-08,5.491e-05,5.37e-05,-41.01,-33.99,0.05892,0.2946,0.02257,-0.03635,13770000,-16910000
Proc_max_19,wp,wp,wp,24.44,19180000,23.47,3575000,0.7157,16.67,-0.3582,3.248e-08,5.491e-05,5.37e-05,-41.01,-33.99,0.05892,0.2946,0.02257,-0.03635,13770000,-16910000
Proc_max_20,wp,wp,ws,24.44,19180000,23.47,3575000,0.7157,16.67,-0.3582,3.248e-08,5.491e-05,5.37e-05,-41.01,-33.99,0.05892,0.2946,0.02257,-0.03635,13770000,-16910000
Proc_max_21,wp,ws,tm,24.68,12510000,26.91,3393000,1.235,17.15,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.46,-27.95,0.05957,0.2979,0.0235,-0.03607,10030000,-9554000
Proc_max_22,wp,ws,wp,24.68,12510000,26.91,3393000,1.235,17.15,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.46,-27.95,0.05957,0.2979,0.0235,-0.03607,10030000,-9554000
Proc_max_23,wp,ws,ws,24.68,12510000,26.91,3393000,1.235,17.15,-0.3915,3.371e-08,4.781e-05,5.235e-05,-28.46,-27.95,0.05957,0.2979,0.0235,-0.03607,10030000,-9554000
Proc_max_24,wp,wo,tm,24.37,13360000,30.05,3472000,1.165,16.54,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.48,-30.62,0.05799,0.2899,0.02006,-0.03793,10910000,-11120000
Proc_max_25,wp,wo,wp,24.37,13360000,30.05,3472000,1.165,16.54,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.48,-30.62,0.05799,0.2899,0.02006,-0.03793,10910000,-11120000
Proc_max_26,wp,wo,ws,24.37,13360000,30.05,3472000,1.165,16.54,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.48,-30.62,0.05799,0.2899,0.02006,-0.03793,10910000,-11120000
Proc_max_27,wp,wz,tm,24.55,17670000,21.73,3501000,0.7571,16.88,-0.2207,3.377e-08,5.316e-05,5.205e-05,-36.91,-32.94,0.05984,0.2992,0.02516,-0.03468,13350000,-14730000
Proc_max_28,wp,wz,wp,24.55,17670000,21.73,3501000,0.7571,16.88,-0.2207,3.377e-08,5.316e-05,5.205e-05,-36.91,-32.94,0.05984,0.2992,0.02516,-0.03468,13350000,-14730000
Proc_max_29,wp,wz,ws,24.55,17670000,21.73,3501000,0.7571,16.88,-0.2207,3.377e-08,5.316e-05,5.205e-05,-36.91,-32.94,0.05984,0.2992,0.02516,-0.03468,13350000,-14730000
Proc_max_30,ws,tm,tm,24.57,15380000,25.65,3482000,0.9202,16.92,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.52,-31.41,0.05957,0.2979,0.02308,-0.03649,12220000,-12740000
Proc_max_31,ws,tm,wp,24.57,15380000,25.65,3482000,0.9202,16.92,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.52,-31.41,0.05957,0.2979,0.02308,-0.03649,12220000,-12740000
Proc_max_32,ws,tm,ws,24.57,15380000,25.65,3482000,0.9202,16.92,-0.372,3.307e-08,5.115e-05,5.294e-05,-34.52,-31.41,0.05957,0.2979,0.02308,-0.03649,12220000,-12740000
Proc_max_33,ws,wp,tm,24.43,19100000,23.25,3575000,0.7166,16.66,-0.3582,3.248e-08,5.491e-05,5.37e-05,-40.98,-33.98,0.05892,0.2946,0.02257,-0.03635,13760000,-16850000
